Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/19/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Burundi,BDI,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,6.362709431,5.590792432,2.929135406,2.628792245,2.806493996,4.699673838,5.116247692,8.790584601,12.5351249,17.63342113,17.97757478,18.48721948,22.61752811,28.66318683,35.7254502,40.21694646,48.2972878,69.76888324,75.57511883,81.07684659,81.17855607,83.33457051,95.99814883,114.7313201,123.3950432,117.6042417,132.2316631,111.303812,126.6925254,144.8006495,127.2476256,126.496859,151.8049541,175.8491969,152.9279439,117.1529316,108.4893259,104.400317,86.48594456,34.41181349,30.71742055,27.27531854,28.53344327,27.72569264,25.61325404,20.19551951,22.8401921,22.32692564,22.21478159,24.33103992,24.96281474,35.05773852,28.24373728,39.03772195,47.12696698
Belgium,BEL,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,13.04833212,15.37791017,11.59041225,17.93977606,19.53639853,17.64552719,20.22058012,28.32250195,30.55555539,38.21850556,33.86247169,42.17839327,60.0963634,73.78959056,74.65248493,88.136233,79.27748322,81.13749513,73.3466221,73.09095693,57.82463518,58.79060395,73.33906804,56.85756634,88.42962964,65.70368978,59.49960759,61.39692191,60.08633346,42.62742183,42.88163955,44.60804561,44.43706581,32.13344555,32.41918608,28.6476158,17.91819424,18.45028392,17.41054614,20.76388577,24.08947704,20.51405155,24.11261542,24.68396964,27.5787747,31.83374133,35.51616616,38.80785918,48.50448874,48.45231082,54.71307288,59.66593452,63.16366078,64.41037742,66.55434082
Burkina Faso,BFA,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,4.535190293,4.896801498,3.46720981,4.605722664,6.323373264,6.739717293,8.821513151,14.78668732,17.9385569,16.9631257,17.16771587,18.58166127,20.17171009,25.01060994,28.17747762,33.04261645,31.49814203,35.04828127,32.47287552,27.5478434,26.94523419,30.94991367,31.08791044,35.17624925,60.34119027,53.77796595,50.18270291,53.47839947,52.4738714,47.39218603,48.78636777,47.69878408,43.60368366,37.51176733,35.96754765,33.06867767,17.52111077,25.90431693,28.41177185,39.88995225,49.02102699,51.56494338,60.76226011,68.39098397,77.24497302,111.5882579,83.60879326,94.06235826,69.05141563,59.77176944,57.11138826,55.03655047,54.94235218,53.77461978,48.76174443
Bangladesh,BGD,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,6.139896578,10.0415094,8.644508249,19.73211734,24.26645787,21.30261976,19.09837078,20.94090891,20.44271819,26.21260145,29.50007938,28.48834124,28.82350218,35.64440249,39.16030364,37.80082497,36.37515678,38.13290122,41.1077239,41.34396077,41.46034149,44.48178336,40.24564344,31.83460855,28.73778209,30.16083574,31.1302505,28.31228579,26.92586964,29.32377541,29.46495112,29.02310531,25.50208473,26.58155757,25.40563166,23.65675677,22.94559826,21.32337466,19.48700426,20.1641903,20.02592787,19.12637443,18.65646473,14.97179048,16.80574504,17.09248027,17.08565118,18.88538361,20.87661178,20.26597532,22.28548849,22.25479772
Bulgaria,BGR,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,3.928053706,6.843452164,10.5468402,14.71792024,22.53338835,29.15824435,29.74638324,40.4062318,47.47678762,57.32612409,171.3041456,139.9058643,114.4585339,103.2782838,55.92189138,87.13765455,101.2794599,77.33234915,87.67929008,92.92744647,79.35346063,73.52850714,66.35903886,62.80511515,61.78971221,83.53038297,106.4748634,102.355249,110.5752384,102.1547239,85.43903741,95.99018162,94.6293062,83.38782506,82.21099703,76.71793405,71.01722662,62.81961588,60.92068615,68.92036794,55.45918102,55.14201989,,
Bahrain,BHR,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.48997633,45.78295804,42.49397685,44.58253223,50.91944838,50.31449038,60.50466733,65.5535008,71.69470767,66.51414381,76.97437101,82.24530821,66.01975823,75.21729041,75.12539989,70.17773315,70.57625409,68.05574643,71.87227678,63.73944813,62.09446585,69.50812864,58.81744469,55.50700511,50.55329514,49.15507321
Belarus,BLR,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.943454894,8.692719633,12.12701246,13.26037267,14.75776222,15.68634828,22.24962636,20.65726945,22.73255641,23.33721084,21.17325578,19.89987597,17.51223228,17.80898753,27.91971348,25.26980455,44.37081301,50.67329886,55.55438418,52.56631915,54.30296383,52.34070136,70.76682315,82.5010406,75.15549155,67.00098076,65.17476605,70.9847643,62.06228321,56.39479887,52.43762851,46.14528867
