Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/19/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.3620981,175.3441296,168.781911,163.2673599,164.5590143,145.0728795,140.3911086,133.2307714,132.7942913,132.4309298,145.0502801,141.0426267,139.9723095,139.1101498,137.5565759,135.4646547,154.4377869,156.6451972,155.7319044,156.4910528,140.4930011,136.8872633,138.7166201,138.8249722,137.9619293,122.723738,139.9177977,160.6345464,159.0185969,160.3652788
Africa Eastern and Southern,AFE,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.25421683,39.7402263,40.41849098,42.85305499,45.36802833,47.43630941,47.19847093,45.06120127,46.65893957,44.90577609,46.55716908,47.9559637,57.29430389,54.86581883,55.90146908,58.65830063,59.22119685,64.92655225,72.11395298,60.82678973,61.1440016,63.06839215,61.02621519,61.47494765,59.89988482,54.91933504,52.95320186,51.83320718,55.02203789,53.52812918,49.52170478,54.50126452,57.15277627,56.17052775,54.42217832
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.70989455,51.41171637,72.88546961,67.58466515,
Africa Western and Central,AFW,Trade (% of GDP),NE.TRD.GNFS.ZS,33.0232601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.57082097,90.68071618,90.38603847,95.34145929,84.62460412,97.2256307,108.6804087,102.2631833,90.99406314,89.03694434,81.93947855,77.34980137,69.58014245,54.97938088,47.01556614,45.66434235,58.91648008,60.71482433,54.34422868,61.52621367,55.25477327,53.03348363,50.84223056
Albania,ALB,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,47.4940925,46.10046628,44.81056161,40.4106676,38.11568302,35.93482397,31.63730488,32.15956392,36.89787074,40.06608646,39.4369634,36.07052006,108.7854722,80.51833277,53.10258474,40.13869895,44.41178201,44.72937806,47.1306267,49.89541841,61.60926104,64.24744626,65.99146503,64.8232151,65.03793832,69.11629266,72.20190895,79.91190089,75.24854728,73.32135756,75.53253297,80.69899853,76.96835832,75.75061856,75.02120231,71.27944766,74.01445045,76.78738179,75.69407837,75.38212893,59.52069944,75.59040409,84.69804359,82.3524934,79.45463608
Andorra,AND,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,59.80360126,60.32864065,63.15493422,83.32990822,74.6763705,83.33510288,77.19950498,81.63936849,79.7766596,82.10655202,86.35804612,88.09716648,83.83907196,75.64113348,71.96776196,64.51595033,56.86733396,59.10551963,61.08615252,65.88967579,64.46598932,68.0462111,63.22332824,59.07648546,57.63286543,61.2393921,60.71012843,68.78579965,67.28940067,67.31321855,72.01320139,73.22578749,73.51966997,80.17857909,84.50680772,88.64571645,88.94087196,92.9395641,96.75734782,88.78404998,85.47222344,88.27789257,89.76974843,88.75525732,86.56253762,81.68339044,76.04302974,79.45303449,79.88203961,79.06962264,74.50459199,79.45842845,86.79323932,86.74665862,62.20971088
United Arab Emirates,ARE,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.86457993,93.07165881,102.3001695,116.6226125,119.5528716,119.4706696,136.7981529,148.513544,153.4619444,135.4857091,144.1767869,156.6376945,157.398084,159.5156151,164.2861827,165.3950192,165.4765425,154.747005,163.8221529,181.2918882,182.9093551,185.741661,199.0449792,
Argentina,ARG,Trade (% of GDP),NE.TRD.GNFS.ZS,15.20809609,11.98989231,14.07552565,15.78090624,11.12742968,10.37645741,11.64260542,12.49266037,11.88816489,12.79742663,10.33744408,12.61518892,14.0356432,13.32216851,13.19157986,11.80272429,15.09688462,16.94228657,14.32379637,12.84068464,11.54567246,14.29297748,15.6114861,14.98767011,12.34638143,18.00942507,14.48603279,15.44896988,15.74345861,19.6377977,14.990859,13.75305416,14.73098059,16.22315145,18.13434587,19.77142309,21.50646841,23.33617884,23.35002797,21.38274496,22.62244478,21.85225545,41.75272436,40.64474803,40.69264611,40.55127097,40.43347987,40.94517062,40.40267338,34.05712691,34.97101326,35.206155,30.52654237,29.333929,28.40679365,22.48622609,26.09388785,25.28960114,30.76253595,32.63061505,30.20369881,33.07868957,31.58017926,26.67695125,27.92976085
Armenia,ARM,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.33571855,100.8658552,101.0767594,107.9731463,112.4293646,86.11485707,79.22956012,78.54774505,71.84245188,70.56047914,72.23333023,69.86426639,73.98450184,80.0513676,73.07063399,70.13973858,61.03013798,56.97504709,54.54232796,57.27423574,64.64297597,69.43557366,75.96167596,77.55504816,75.77886696,71.68207434,76.07796746,87.20237654,92.47310702,97.84700487,70.12135714,79.24890576,103.8786292,123.4187501,150.0647266
